id;code_etudiant;telephone;email_personnel;adresse;sexe;date_naissance
1;ouch;+33 774520122;aux environs de;ha au cas où bon;F;2025-04-23
2;tchou tchouu avex;0208630986;séculaire;plaire en face de ronron;M;2025-04-24
3;diablement glouglou brave;0626074975;perplexe;de manière à ce que repentir;M;2025-04-24
4;lectorat au cas où;+33 713571433;entre trop;conseil d’administration près;F;2025-04-23
5;afin que;+33 395743769;personnel professionnel turquoise;laisser totalement personnel professionnel;M;2025-04-23
6;contre replacer;0259725805;main-d’œuvre bang;de sorte que membre du personnel;M;2025-04-24
7;trop ressembler parmi;0468984564;tranquille;désigner triathlète;F;2025-04-23
8;démarrer de;+33 458072626;là-haut vouloir;concernant;F;2025-04-24
9;hypocrite;+33 608158782;à l'instar de;parfois touriste;F;2025-04-24
10;joliment déjeuner suffisamment;+33 718910362;oui;ouille jeune enfant;F;2025-04-24
